Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M5,True,2,2022-01-30T22:00:00.000000000Z,1.11453,1.11457,1.11453,1.11457
EUR_USD,M5,True,31,2022-01-30T22:05:00.000000000Z,1.11452,1.11465,1.11448,1.11456
EUR_USD,M5,True,9,2022-01-30T22:10:00.000000000Z,1.11464,1.11469,1.11455,1.11455
EUR_USD,M5,True,1,2022-01-30T22:15:00.000000000Z,1.11462,1.11462,1.11462,1.11462
EUR_USD,M5,True,1,2022-01-30T22:20:00.000000000Z,1.11456,1.11456,1.11456,1.11456
EUR_USD,M5,True,4,2022-01-30T22:25:00.000000000Z,1.11460,1.11463,1.11454,1.11456
EUR_USD,M5,True,3,2022-01-30T22:30:00.000000000Z,1.11452,1.11458,1.11452,1.11454
EUR_USD,M5,True,2,2022-01-30T22:40:00.000000000Z,1.11446,1.11446,1.11441,1.11441
EUR_USD,M5,True,7,2022-01-30T22:45:00.000000000Z,1.11445,1.11446,1.11438,1.11446
EUR_USD,M5,True,4,2022-01-30T22:50:00.000000000Z,1.11438,1.11444,1.11438,1.11444
EUR_USD,M5,True,10,2022-01-30T22:55:00.000000000Z,1.11448,1.11452,1.11440,1.11448
EUR_USD,M5,True,194,2022-01-30T23:00:00.000000000Z,1.11460,1.11463,1.11382,1.11396
EUR_USD,M5,True,123,2022-01-30T23:05:00.000000000Z,1.11398,1.11414,1.11386,1.11404
EUR_USD,M5,True,86,2022-01-30T23:10:00.000000000Z,1.11402,1.11422,1.11397,1.11416
EUR_USD,M5,True,60,2022-01-30T23:15:00.000000000Z,1.11417,1.11440,1.11417,1.11438
EUR_USD,M5,True,47,2022-01-30T23:20:00.000000000Z,1.11440,1.11460,1.11438,1.11460
EUR_USD,M5,True,45,2022-01-30T23:25:00.000000000Z,1.11458,1.11472,1.11457,1.11458
EUR_USD,M5,True,48,2022-01-30T23:30:00.000000000Z,1.11458,1.11478,1.11458,1.11466
EUR_USD,M5,True,74,2022-01-30T23:35:00.000000000Z,1.11468,1.11494,1.11461,1.11488
EUR_USD,M5,True,70,2022-01-30T23:40:00.000000000Z,1.11490,1.11504,1.11488,1.11500
EUR_USD,M5,True,167,2022-01-30T23:45:00.000000000Z,1.11499,1.11500,1.11454,1.11454
EUR_USD,M5,True,159,2022-01-30T23:50:00.000000000Z,1.11455,1.11502,1.11442,1.11482
EUR_USD,M5,True,151,2022-01-30T23:55:00.000000000Z,1.11480,1.11526,1.11455,1.11520
EUR_USD,M5,True,178,2022-01-31T00:00:00.000000000Z,1.11521,1.11543,1.11506,1.11540
EUR_USD,M5,True,117,2022-01-31T00:05:00.000000000Z,1.11538,1.11538,1.11508,1.11522
EUR_USD,M5,True,54,2022-01-31T00:10:00.000000000Z,1.11520,1.11538,1.11520,1.11528
EUR_USD,M5,True,74,2022-01-31T00:15:00.000000000Z,1.11526,1.11526,1.11490,1.11493
EUR_USD,M5,True,150,2022-01-31T00:20:00.000000000Z,1.11495,1.11512,1.11482,1.11510
EUR_USD,M5,True,261,2022-01-31T00:25:00.000000000Z,1.11512,1.11528,1.11508,1.11519
EUR_USD,M5,True,81,2022-01-31T00:30:00.000000000Z,1.11517,1.11518,1.11482,1.11493
EUR_USD,M5,True,67,2022-01-31T00:35:00.000000000Z,1.11494,1.11506,1.11486,1.11501
EUR_USD,M5,True,47,2022-01-31T00:40:00.000000000Z,1.11502,1.11508,1.11492,1.11506
EUR_USD,M5,True,57,2022-01-31T00:45:00.000000000Z,1.11508,1.11509,1.11498,1.11502
EUR_USD,M5,True,135,2022-01-31T00:50:00.000000000Z,1.11500,1.11500,1.11452,1.11460
EUR_USD,M5,True,170,2022-01-31T00:55:00.000000000Z,1.11458,1.11472,1.11442,1.11452
EUR_USD,M5,True,172,2022-01-31T01:00:00.000000000Z,1.11454,1.11480,1.11451,1.11464
EUR_USD,M5,True,113,2022-01-31T01:05:00.000000000Z,1.11466,1.11470,1.11448,1.11466
EUR_USD,M5,True,110,2022-01-31T01:10:00.000000000Z,1.11465,1.11471,1.11452,1.11466
EUR_USD,M5,True,110,2022-01-31T01:15:00.000000000Z,1.11467,1.11467,1.11452,1.11464
EUR_USD,M5,True,88,2022-01-31T01:20:00.000000000Z,1.11462,1.11490,1.11458,1.11488
EUR_USD,M5,True,105,2022-01-31T01:25:00.000000000Z,1.11490,1.11498,1.11482,1.11492
EUR_USD,M5,True,94,2022-01-31T01:30:00.000000000Z,1.11491,1.11496,1.11482,1.11496
EUR_USD,M5,True,96,2022-01-31T01:35:00.000000000Z,1.11498,1.11509,1.11496,1.11504
EUR_USD,M5,True,162,2022-01-31T01:40:00.000000000Z,1.11503,1.11512,1.11492,1.11498
EUR_USD,M5,True,108,2022-01-31T01:45:00.000000000Z,1.11500,1.11524,1.11500,1.11523
EUR_USD,M5,True,124,2022-01-31T01:50:00.000000000Z,1.11524,1.11562,1.11520,1.11554
EUR_USD,M5,True,148,2022-01-31T01:55:00.000000000Z,1.11552,1.11580,1.11550,1.11579
EUR_USD,M5,True,106,2022-01-31T02:00:00.000000000Z,1.11577,1.11578,1.11553,1.11574
EUR_USD,M5,True,167,2022-01-31T02:05:00.000000000Z,1.11576,1.11596,1.11574,1.11588
EUR_USD,M5,True,121,2022-01-31T02:10:00.000000000Z,1.11587,1.11593,1.11570,1.11570
EUR_USD,M5,True,199,2022-01-31T02:15:00.000000000Z,1.11572,1.11582,1.11546,1.11581
EUR_USD,M5,True,226,2022-01-31T02:20:00.000000000Z,1.11580,1.11604,1.11572,1.11599
EUR_USD,M5,True,114,2022-01-31T02:25:00.000000000Z,1.11598,1.11599,1.11578,1.11583
EUR_USD,M5,True,58,2022-01-31T02:30:00.000000000Z,1.11584,1.11589,1.11576,1.11582
EUR_USD,M5,True,60,2022-01-31T02:35:00.000000000Z,1.11584,1.11603,1.11581,1.11594
EUR_USD,M5,True,63,2022-01-31T02:40:00.000000000Z,1.11592,1.11598,1.11584,1.11589
EUR_USD,M5,True,93,2022-01-31T02:45:00.000000000Z,1.11592,1.11592,1.11559,1.11570
EUR_USD,M5,True,121,2022-01-31T02:50:00.000000000Z,1.11568,1.11582,1.11561,1.11579
EUR_USD,M5,True,111,2022-01-31T02:55:00.000000000Z,1.11580,1.11600,1.11576,1.11594
EUR_USD,M5,True,88,2022-01-31T03:00:00.000000000Z,1.11592,1.11612,1.11590,1.11612
EUR_USD,M5,True,80,2022-01-31T03:05:00.000000000Z,1.11614,1.11618,1.11604,1.11608
EUR_USD,M5,True,96,2022-01-31T03:10:00.000000000Z,1.11607,1.11608,1.11588,1.11608
EUR_USD,M5,True,83,2022-01-31T03:15:00.000000000Z,1.11610,1.11623,1.11602,1.11608
EUR_USD,M5,True,74,2022-01-31T03:20:00.000000000Z,1.11610,1.11614,1.11586,1.11588
EUR_USD,M5,True,60,2022-01-31T03:25:00.000000000Z,1.11587,1.11588,1.11572,1.11584
EUR_USD,M5,True,55,2022-01-31T03:30:00.000000000Z,1.11582,1.11592,1.11578,1.11578
EUR_USD,M5,True,51,2022-01-31T03:35:00.000000000Z,1.11576,1.11590,1.11573,1.11582
EUR_USD,M5,True,73,2022-01-31T03:40:00.000000000Z,1.11583,1.11624,1.11580,1.11620
EUR_USD,M5,True,114,2022-01-31T03:45:00.000000000Z,1.11619,1.11629,1.11608,1.11621
EUR_USD,M5,True,126,2022-01-31T03:50:00.000000000Z,1.11620,1.11620,1.11608,1.11612
EUR_USD,M5,True,105,2022-01-31T03:55:00.000000000Z,1.11610,1.11622,1.11608,1.11610
EUR_USD,M5,True,54,2022-01-31T04:00:00.000000000Z,1.11612,1.11636,1.11610,1.11626
EUR_USD,M5,True,61,2022-01-31T04:05:00.000000000Z,1.11628,1.11630,1.11604,1.11606
EUR_USD,M5,True,192,2022-01-31T04:10:00.000000000Z,1.11607,1.11616,1.11602,1.11609
EUR_USD,M5,True,57,2022-01-31T04:15:00.000000000Z,1.11608,1.11619,1.11608,1.11614
EUR_USD,M5,True,38,2022-01-31T04:20:00.000000000Z,1.11612,1.11612,1.11604,1.11608
EUR_USD,M5,True,64,2022-01-31T04:25:00.000000000Z,1.11607,1.11623,1.11604,1.11616
EUR_USD,M5,True,51,2022-01-31T04:30:00.000000000Z,1.11614,1.11616,1.11610,1.11612
EUR_USD,M5,True,65,2022-01-31T04:35:00.000000000Z,1.11610,1.11626,1.11610,1.11626
EUR_USD,M5,True,60,2022-01-31T04:40:00.000000000Z,1.11628,1.11638,1.11624,1.11634
EUR_USD,M5,True,46,2022-01-31T04:45:00.000000000Z,1.11636,1.11638,1.11628,1.11630
EUR_USD,M5,True,55,2022-01-31T04:50:00.000000000Z,1.11628,1.11634,1.11621,1.11632
EUR_USD,M5,True,43,2022-01-31T04:55:00.000000000Z,1.11630,1.11631,1.11618,1.11618
EUR_USD,M5,True,28,2022-01-31T05:00:00.000000000Z,1.11619,1.11619,1.11610,1.11610
EUR_USD,M5,True,63,2022-01-31T05:05:00.000000000Z,1.11612,1.11620,1.11610,1.11620
EUR_USD,M5,True,70,2022-01-31T05:10:00.000000000Z,1.11621,1.11630,1.11618,1.11628
EUR_USD,M5,True,27,2022-01-31T05:15:00.000000000Z,1.11626,1.11631,1.11618,1.11631
EUR_USD,M5,True,93,2022-01-31T05:20:00.000000000Z,1.11629,1.11652,1.11628,1.11646
EUR_USD,M5,True,50,2022-01-31T05:25:00.000000000Z,1.11644,1.11651,1.11642,1.11650
EUR_USD,M5,True,95,2022-01-31T05:30:00.000000000Z,1.11651,1.11652,1.11639,1.11644
EUR_USD,M5,True,105,2022-01-31T05:35:00.000000000Z,1.11646,1.11660,1.11644,1.11654
EUR_USD,M5,True,81,2022-01-31T05:40:00.000000000Z,1.11656,1.11656,1.11638,1.11650
EUR_USD,M5,True,73,2022-01-31T05:45:00.000000000Z,1.11652,1.11656,1.11644,1.11646
EUR_USD,M5,True,66,2022-01-31T05:50:00.000000000Z,1.11648,1.11656,1.11644,1.11650
EUR_USD,M5,True,132,2022-01-31T05:55:00.000000000Z,1.11648,1.11658,1.11640,1.11650
EUR_USD,M5,True,121,2022-01-31T06:00:00.000000000Z,1.11650,1.11654,1.11630,1.11648
EUR_USD,M5,True,83,2022-01-31T06:05:00.000000000Z,1.11648,1.11652,1.11624,1.11630
EUR_USD,M5,True,103,2022-01-31T06:10:00.000000000Z,1.11632,1.11650,1.11628,1.11644
EUR_USD,M5,True,85,2022-01-31T06:15:00.000000000Z,1.11642,1.11667,1.11640,1.11649
EUR_USD,M5,True,108,2022-01-31T06:20:00.000000000Z,1.11650,1.11654,1.11638,1.11649
EUR_USD,M5,True,55,2022-01-31T06:25:00.000000000Z,1.11648,1.11652,1.11637,1.11638
EUR_USD,M5,True,106,2022-01-31T06:30:00.000000000Z,1.11640,1.11650,1.11624,1.11645
EUR_USD,M5,True,58,2022-01-31T06:35:00.000000000Z,1.11644,1.11670,1.11644,1.11670
EUR_USD,M5,True,91,2022-01-31T06:40:00.000000000Z,1.11668,1.11674,1.11662,1.11669
EUR_USD,M5,True,62,2022-01-31T06:45:00.000000000Z,1.11667,1.11670,1.11648,1.11648
EUR_USD,M5,True,80,2022-01-31T06:50:00.000000000Z,1.11649,1.11660,1.11648,1.11660
EUR_USD,M5,True,113,2022-01-31T06:55:00.000000000Z,1.11658,1.11666,1.11635,1.11666
EUR_USD,M5,True,231,2022-01-31T07:00:00.000000000Z,1.11664,1.11672,1.11649,1.11668
EUR_USD,M5,True,117,2022-01-31T07:05:00.000000000Z,1.11670,1.11676,1.11650,1.11660
EUR_USD,M5,True,153,2022-01-31T07:10:00.000000000Z,1.11659,1.11662,1.11639,1.11645
EUR_USD,M5,True,323,2022-01-31T07:15:00.000000000Z,1.11644,1.11658,1.11614,1.11614
EUR_USD,M5,True,236,2022-01-31T07:20:00.000000000Z,1.11614,1.11640,1.11614,1.11622
EUR_USD,M5,True,221,2022-01-31T07:25:00.000000000Z,1.11624,1.11634,1.11612,1.11618
EUR_USD,M5,True,248,2022-01-31T07:30:00.000000000Z,1.11620,1.11657,1.11618,1.11646
EUR_USD,M5,True,363,2022-01-31T07:35:00.000000000Z,1.11646,1.11649,1.11611,1.11628
EUR_USD,M5,True,159,2022-01-31T07:40:00.000000000Z,1.11628,1.11633,1.11608,1.11611
EUR_USD,M5,True,246,2022-01-31T07:45:00.000000000Z,1.11612,1.11628,1.11606,1.11611
EUR_USD,M5,True,155,2022-01-31T07:50:00.000000000Z,1.11612,1.11623,1.11608,1.11619
EUR_USD,M5,True,275,2022-01-31T07:55:00.000000000Z,1.11618,1.11714,1.11617,1.11710
