Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
EUR_USD,M1,False,38,2022-02-04T12:18:00.000000000Z,1.14802,1.14802,1.14784,1.14784
EUR_USD,M1,True,85,2022-02-04T12:19:00.000000000Z,1.14786,1.14786,1.14758,1.14760
EUR_USD,M1,False,96,2022-02-04T12:20:00.000000000Z,1.14758,1.14771,1.14755,1.14766
EUR_USD,M1,True,41,2022-02-04T12:21:00.000000000Z,1.14768,1.14778,1.14767,1.14774
EUR_USD,M1,False,58,2022-02-04T12:22:00.000000000Z,1.14774,1.14776,1.14753,1.14758
EUR_USD,M1,True,51,2022-02-04T12:23:00.000000000Z,1.14759,1.14769,1.14758,1.14762
EUR_USD,M1,True,78,2022-02-04T12:24:00.000000000Z,1.14762,1.14766,1.14748,1.14758
EUR_USD,M1,False,71,2022-02-04T12:25:00.000000000Z,1.14760,1.14762,1.14746,1.14746
EUR_USD,M1,False,39,2022-02-04T12:26:00.000000000Z,1.14746,1.14746,1.14740,1.14742
EUR_USD,M1,False,51,2022-02-04T12:27:00.000000000Z,1.14740,1.14744,1.14728,1.14728
EUR_USD,M1,False,83,2022-02-04T12:28:00.000000000Z,1.14728,1.14737,1.14718,1.14724
EUR_USD,M1,True,63,2022-02-04T12:29:00.000000000Z,1.14725,1.14730,1.14722,1.14728
