Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,EMA
EUR_USD,D,,,2021-10-01T00:00:00.000000000Z,1.15762,1.16068,1.15623,1.15918,1.1839
EUR_USD,D,,,2021-10-04T00:00:00.000000000Z,1.15918,1.16396,1.1587,1.16174,1.1837
EUR_USD,D,,,2021-10-05T00:00:00.000000000Z,1.16174,1.16213,1.158,1.15963,1.1834
EUR_USD,D,,,2021-10-06T00:00:00.000000000Z,1.15963,1.16013,1.15284,1.15548,1.1832
EUR_USD,D,,,2021-10-07T00:00:00.000000000Z,1.15548,1.15717,1.15467,1.15528,1.1829
EUR_USD,D,,,2021-10-08T00:00:00.000000000Z,1.15528,1.15855,1.15407,1.15704,1.1826
EUR_USD,D,,,2021-10-11T00:00:00.000000000Z,1.15704,1.15862,1.15484,1.15523,1.1824
EUR_USD,D,,,2021-10-12T00:00:00.000000000Z,1.15523,1.15696,1.15236,1.15293,1.1821
EUR_USD,D,,,2021-10-13T00:00:00.000000000Z,1.15293,1.15968,1.15246,1.1595,1.1818
EUR_USD,D,,,2021-10-14T00:00:00.000000000Z,1.1595,1.16238,1.15833,1.15964,1.1816
EUR_USD,D,,,2021-10-15T00:00:00.000000000Z,1.15964,1.16182,1.15874,1.15979,1.1814
EUR_USD,D,,,2021-10-18T00:00:00.000000000Z,1.15979,1.1619,1.15711,1.16104,1.1812
EUR_USD,D,,,2021-10-19T00:00:00.000000000Z,1.16104,1.16687,1.16067,1.16321,1.181
EUR_USD,D,,,2021-10-20T00:00:00.000000000Z,1.16321,1.1658,1.16162,1.165,1.1809
EUR_USD,D,,,2021-10-21T00:00:00.000000000Z,1.165,1.16667,1.16189,1.1624,1.1807
EUR_USD,D,,,2021-10-22T00:00:00.000000000Z,1.1624,1.16551,1.16185,1.16434,1.1805
EUR_USD,D,,,2021-10-25T00:00:00.000000000Z,1.16434,1.16647,1.159,1.16096,1.1803
EUR_USD,D,,,2021-10-26T00:00:00.000000000Z,1.16096,1.16251,1.15842,1.15955,1.1801
EUR_USD,D,,,2021-10-27T00:00:00.000000000Z,1.15955,1.16254,1.15841,1.16023,1.1799
EUR_USD,D,,,2021-10-28T00:00:00.000000000Z,1.16023,1.16916,1.15815,1.16821,1.1798
EUR_USD,D,,,2021-10-29T00:00:00.000000000Z,1.16821,1.16894,1.15346,1.15606,1.1796
EUR_USD,D,,,2021-11-01T00:00:00.000000000Z,1.15606,1.16083,1.15454,1.16054,1.1794
EUR_USD,D,,,2021-11-02T00:00:00.000000000Z,1.16054,1.1613,1.15745,1.1579,1.1792
EUR_USD,D,,,2021-11-03T00:00:00.000000000Z,1.1579,1.16155,1.15618,1.16107,1.179
EUR_USD,D,,,2021-11-04T00:00:00.000000000Z,1.16107,1.16158,1.15275,1.15531,1.1787
EUR_USD,D,,,2021-11-05T00:00:00.000000000Z,1.15531,1.15725,1.15725,1.15125,1.1785
EUR_USD,D,,,2021-11-08T00:00:00.000000000Z,1.15125,1.15944,1.15497,1.15863,1.1783
EUR_USD,D,,,2021-11-09T00:00:00.000000000Z,1.15863,1.16082,1.15691,1.15936,1.1781
EUR_USD,D,,,2021-11-10T00:00:00.000000000Z,1.15936,1.15945,1.14754,1.1477,1.1778
EUR_USD,D,,,2021-11-11T00:00:00.000000000Z,1.1477,1.14869,1.14424,1.14484,1.1775
EUR_USD,D,,,2021-11-12T00:00:00.000000000Z,1.14484,1.14615,1.14323,1.14422,1.1771
EUR_USD,D,,,2021-11-15T00:00:00.000000000Z,1.14422,1.14633,1.13556,1.13666,1.1767
EUR_USD,D,,,2021-11-16T00:00:00.000000000Z,1.13666,1.13852,1.1308,1.13195,1.1763
EUR_USD,D,,,2021-11-17T00:00:00.000000000Z,1.13195,1.13315,1.12627,1.1318,1.1758
EUR_USD,D,,,2021-11-18T00:00:00.000000000Z,1.1318,1.13735,1.13132,1.13721,1.1754
EUR_USD,D,,,2021-11-19T00:00:00.000000000Z,1.13721,1.13721,1.12488,1.12808,1.175
EUR_USD,D,,,2021-11-22T00:00:00.000000000Z,1.12808,1.12898,1.12283,1.12328,1.1745
EUR_USD,D,,,2021-11-23T00:00:00.000000000Z,1.12328,1.12744,1.12252,1.12483,1.174
EUR_USD,D,,,2021-11-24T00:00:00.000000000Z,1.12483,1.12547,1.11853,1.11997,1.1734
EUR_USD,D,,,2021-11-25T00:00:00.000000000Z,1.11997,1.12291,1.11943,1.12054,1.1729
EUR_USD,D,,,2021-11-26T00:00:00.000000000Z,1.12054,1.13293,1.12027,1.13052,1.1725
EUR_USD,D,,,2021-11-29T00:00:00.000000000Z,1.13052,1.13113,1.12577,1.12915,1.1721
