,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
0,EUR_USD,S5,False,3,2022-01-06T07:51:40.000000000Z,1.12874,1.12878,1.12874,1.12878
11,EUR_USD,S5,True,3,2022-01-06T07:51:40.000000000Z,1.12874,1.12878,1.12874,1.12878
28,EUR_USD,S5,False,1,2022-01-06T07:51:55.000000000Z,1.12876,1.12876,1.12876,1.12876
30,EUR_USD,S5,True,1,2022-01-06T07:51:55.000000000Z,1.12876,1.12876,1.12876,1.12876
32,EUR_USD,S5,False,5,2022-01-06T07:52:00.000000000Z,1.12876,1.12877,1.12876,1.12876
33,EUR_USD,S5,False,6,2022-01-06T07:52:00.000000000Z,1.12876,1.12878,1.12876,1.12878
36,EUR_USD,S5,False,10,2022-01-06T07:52:00.000000000Z,1.12876,1.12878,1.12876,1.12877
45,EUR_USD,S5,False,1,2022-01-06T07:52:05.000000000Z,1.12876,1.12876,1.12876,1.12876
49,EUR_USD,S5,False,1,2022-01-06T07:52:10.000000000Z,1.12874,1.12874,1.12874,1.12874
57,EUR_USD,S5,True,2,2022-01-06T07:52:10.000000000Z,1.12874,1.12876,1.12874,1.12876
58,EUR_USD,S5,False,2,2022-01-06T07:52:15.000000000Z,1.12874,1.12874,1.12873,1.12873
59,EUR_USD,S5,False,9,2022-01-06T07:52:15.000000000Z,1.12874,1.12874,1.12868,1.1287
61,EUR_USD,S5,False,10,2022-01-06T07:52:15.000000000Z,1.12874,1.12874,1.12868,1.12871
65,EUR_USD,S5,False,11,2022-01-06T07:52:15.000000000Z,1.12874,1.12874,1.12868,1.12872
71,EUR_USD,S5,False,2,2022-01-06T07:52:20.000000000Z,1.12874,1.12876,1.12874,1.12876
77,EUR_USD,S5,False,1,2022-01-06T07:52:25.000000000Z,1.12877,1.12877,1.12877,1.12877
84,EUR_USD,S5,False,3,2022-01-06T07:52:25.000000000Z,1.12877,1.12877,1.12874,1.12874
85,EUR_USD,S5,False,4,2022-01-06T07:52:25.000000000Z,1.12877,1.12877,1.12874,1.12875
90,EUR_USD,S5,False,1,2022-01-06T07:52:30.000000000Z,1.12874,1.12874,1.12874,1.12874
91,EUR_USD,S5,False,2,2022-01-06T07:52:30.000000000Z,1.12874,1.12875,1.12874,1.12875
105,EUR_USD,S5,True,2,2022-01-06T07:52:30.000000000Z,1.12874,1.12875,1.12874,1.12875
108,EUR_USD,S5,False,2,2022-01-06T07:52:40.000000000Z,1.12876,1.12877,1.12876,1.12877
128,EUR_USD,S5,False,3,2022-01-06T07:52:45.000000000Z,1.12876,1.12876,1.12874,1.12874
133,EUR_USD,S5,False,2,2022-01-06T07:52:50.000000000Z,1.12872,1.12873,1.12872,1.12873
150,EUR_USD,S5,False,2,2022-01-06T07:52:55.000000000Z,1.12872,1.12873,1.12872,1.12873
153,EUR_USD,S5,True,2,2022-01-06T07:52:55.000000000Z,1.12872,1.12873,1.12872,1.12873
155,EUR_USD,S5,False,8,2022-01-06T07:53:00.000000000Z,1.12872,1.12873,1.12867,1.12867
156,EUR_USD,S5,False,10,2022-01-06T07:53:00.000000000Z,1.12872,1.12873,1.12866,1.12868
160,EUR_USD,S5,False,11,2022-01-06T07:53:00.000000000Z,1.12872,1.12873,1.12866,1.12869
171,EUR_USD,S5,False,1,2022-01-06T07:53:05.000000000Z,1.1287,1.1287,1.1287,1.1287
172,EUR_USD,S5,False,2,2022-01-06T07:53:05.000000000Z,1.1287,1.1287,1.1287,1.1287
180,EUR_USD,S5,False,3,2022-01-06T07:53:05.000000000Z,1.1287,1.1287,1.1287,1.1287
195,EUR_USD,S5,True,3,2022-01-06T07:53:05.000000000Z,1.1287,1.1287,1.1287,1.1287
197,EUR_USD,S5,False,1,2022-01-06T07:53:15.000000000Z,1.1287,1.1287,1.1287,1.1287
205,EUR_USD,S5,False,2,2022-01-06T07:53:15.000000000Z,1.1287,1.1287,1.12868,1.12868
207,EUR_USD,S5,False,1,2022-01-06T07:53:20.000000000Z,1.12866,1.12866,1.12866,1.12866
208,EUR_USD,S5,False,2,2022-01-06T07:53:20.000000000Z,1.12866,1.12867,1.12866,1.12867
213,EUR_USD,S5,True,2,2022-01-06T07:53:20.000000000Z,1.12866,1.12867,1.12866,1.12867
214,EUR_USD,S5,False,2,2022-01-06T07:53:25.000000000Z,1.12868,1.1287,1.12868,1.1287
216,EUR_USD,S5,False,3,2022-01-06T07:53:25.000000000Z,1.12868,1.1287,1.12868,1.12868
224,EUR_USD,S5,False,5,2022-01-06T07:53:30.000000000Z,1.1287,1.1287,1.12868,1.1287
235,EUR_USD,S5,False,6,2022-01-06T07:53:30.000000000Z,1.1287,1.1287,1.12868,1.12868
236,EUR_USD,S5,True,6,2022-01-06T07:53:30.000000000Z,1.1287,1.1287,1.12868,1.12868
237,EUR_USD,S5,False,1,2022-01-06T07:53:35.000000000Z,1.12867,1.12867,1.12867,1.12867
249,EUR_USD,S5,True,1,2022-01-06T07:53:35.000000000Z,1.12867,1.12867,1.12867,1.12867
251,EUR_USD,S5,False,2,2022-01-06T07:53:40.000000000Z,1.12866,1.12866,1.12864,1.12864
253,EUR_USD,S5,False,4,2022-01-06T07:53:40.000000000Z,1.12866,1.12868,1.12864,1.12868
255,EUR_USD,S5,False,5,2022-01-06T07:53:40.000000000Z,1.12866,1.1287,1.12864,1.1287
266,EUR_USD,S5,True,5,2022-01-06T07:53:40.000000000Z,1.12866,1.1287,1.12864,1.1287
275,EUR_USD,S5,False,2,2022-01-06T07:53:50.000000000Z,1.12868,1.1287,1.12868,1.1287
276,EUR_USD,S5,False,3,2022-01-06T07:53:50.000000000Z,1.12868,1.1287,1.12868,1.12868
283,EUR_USD,S5,False,3,2022-01-06T07:53:55.000000000Z,1.12867,1.12867,1.12865,1.12865
284,EUR_USD,S5,True,3,2022-01-06T07:53:55.000000000Z,1.12867,1.12867,1.12865,1.12865
286,EUR_USD,S5,False,2,2022-01-06T07:54:00.000000000Z,1.12864,1.12866,1.12864,1.12866
287,EUR_USD,S5,False,3,2022-01-06T07:54:00.000000000Z,1.12864,1.12868,1.12864,1.12868
