,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
0,EUR_USD,S5,True,2,2022-01-07T07:23:40.000000000Z,1.13044,1.13046,1.13044,1.13046
62,EUR_USD,S5,True,1,2022-01-07T07:24:05.000000000Z,1.13041,1.13041,1.13041,1.13041
106,EUR_USD,S5,True,5,2022-01-07T07:24:20.000000000Z,1.1304,1.1304,1.13038,1.13038
192,EUR_USD,S5,True,4,2022-01-07T07:24:45.000000000Z,1.13039,1.13039,1.13038,1.13038
243,EUR_USD,S5,True,2,2022-01-07T07:25:00.000000000Z,1.13036,1.13037,1.13036,1.13037
266,EUR_USD,S5,True,2,2022-01-07T07:25:15.000000000Z,1.13036,1.13036,1.13035,1.13035
301,EUR_USD,S5,True,1,2022-01-07T07:25:20.000000000Z,1.13033,1.13033,1.13033,1.13033
352,EUR_USD,S5,True,1,2022-01-07T07:25:35.000000000Z,1.13032,1.13032,1.13032,1.13032
437,EUR_USD,S5,True,3,2022-01-07T07:26:00.000000000Z,1.1303,1.1303,1.13027,1.13027
541,EUR_USD,S5,True,1,2022-01-07T07:26:35.000000000Z,1.1303,1.1303,1.1303,1.1303
573,EUR_USD,S5,True,4,2022-01-07T07:26:50.000000000Z,1.13028,1.13028,1.13028,1.13028
607,EUR_USD,S5,True,1,2022-01-07T07:26:55.000000000Z,1.13026,1.13026,1.13026,1.13026
741,EUR_USD,S5,True,1,2022-01-07T07:27:35.000000000Z,1.13026,1.13026,1.13026,1.13026
760,EUR_USD,S5,True,6,2022-01-07T07:27:45.000000000Z,1.13024,1.13026,1.13024,1.13026
792,EUR_USD,S5,True,1,2022-01-07T07:27:50.000000000Z,1.13026,1.13026,1.13026,1.13026
827,EUR_USD,S5,True,6,2022-01-07T07:28:00.000000000Z,1.13028,1.13028,1.13027,1.13027
860,EUR_USD,S5,True,4,2022-01-07T07:28:10.000000000Z,1.13028,1.13029,1.13026,1.13026
995,EUR_USD,S5,True,6,2022-01-07T07:28:50.000000000Z,1.13026,1.13033,1.13026,1.13033
1103,EUR_USD,S5,True,2,2022-01-07T07:29:25.000000000Z,1.13035,1.13035,1.13034,1.13034
1165,EUR_USD,S5,True,5,2022-01-07T07:29:45.000000000Z,1.13035,1.1304,1.13035,1.1304
1212,EUR_USD,S5,True,1,2022-01-07T07:30:05.000000000Z,1.13038,1.13038,1.13038,1.13038
1243,EUR_USD,S5,True,4,2022-01-07T07:30:10.000000000Z,1.13036,1.1304,1.13036,1.13038
1303,EUR_USD,S5,True,2,2022-01-07T07:30:30.000000000Z,1.13036,1.13038,1.13036,1.13038
1402,EUR_USD,S5,True,7,2022-01-07T07:31:00.000000000Z,1.13043,1.13048,1.13043,1.13046
1436,EUR_USD,S5,True,7,2022-01-07T07:31:15.000000000Z,1.13046,1.13046,1.13043,1.13043
1467,EUR_USD,S5,True,5,2022-01-07T07:31:20.000000000Z,1.13044,1.13047,1.13044,1.13047
1485,EUR_USD,S5,True,1,2022-01-07T07:31:30.000000000Z,1.13046,1.13046,1.13046,1.13046
1519,EUR_USD,S5,True,3,2022-01-07T07:31:35.000000000Z,1.13044,1.13047,1.13044,1.13047
1554,EUR_USD,S5,True,4,2022-01-07T07:31:50.000000000Z,1.13049,1.13054,1.13049,1.13052
1573,EUR_USD,S5,True,3,2022-01-07T07:31:55.000000000Z,1.13053,1.13053,1.13052,1.13052
