,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Gains,Loss,Avg_Gain,Avg_Loss,RSI
0,0,EUR_USD,S5,True,2,2022-01-07T07:23:40.000000000Z,1.13044,1.13046,1.13044,1.13046,0,0,0,0,0
1,62,EUR_USD,S5,True,1,2022-01-07T07:24:05.000000000Z,1.13041,1.13041,1.13041,1.13041,0,2.99999999999745E-05,0,0,0
2,106,EUR_USD,S5,True,5,2022-01-07T07:24:20.000000000Z,1.1304,1.1304,1.13038,1.13038,0,9.99999999984347E-06,0,0,0
3,192,EUR_USD,S5,True,4,2022-01-07T07:24:45.000000000Z,1.13039,1.13039,1.13038,1.13038,0,1.00000000000655E-05,0,0,0
4,243,EUR_USD,S5,True,2,2022-01-07T07:25:00.000000000Z,1.13036,1.13037,1.13036,1.13037,0,2.99999999999745E-05,0,0,0
5,266,EUR_USD,S5,True,2,2022-01-07T07:25:15.000000000Z,1.13036,1.13036,1.13035,1.13035,0,0,0,1.59999999999716E-05,0
6,301,EUR_USD,S5,True,1,2022-01-07T07:25:20.000000000Z,1.13033,1.13033,1.13033,1.13033,0,2.99999999999745E-05,0,1.87999999999722E-05,0
7,352,EUR_USD,S5,True,1,2022-01-07T07:25:35.000000000Z,1.13032,1.13032,1.13032,1.13032,0,1.00000000000655E-05,0,1.70399999999908E-05,0
8,437,EUR_USD,S5,True,3,2022-01-07T07:26:00.000000000Z,1.1303,1.1303,1.13027,1.13027,0,1.9999999999909E-05,0,1.76319999999745E-05,0
9,541,EUR_USD,S5,True,1,2022-01-07T07:26:35.000000000Z,1.1303,1.1303,1.1303,1.1303,0,0,0,1.41055999999796E-05,0
10,573,EUR_USD,S5,True,4,2022-01-07T07:26:50.000000000Z,1.13028,1.13028,1.13028,1.13028,0,2.0000000000131E-05,0,1.52844800000099E-05,0
11,607,EUR_USD,S5,True,1,2022-01-07T07:26:55.000000000Z,1.13026,1.13026,1.13026,1.13026,0,1.9999999999909E-05,0,1.62275839999897E-05,0
12,741,EUR_USD,S5,True,1,2022-01-07T07:27:35.000000000Z,1.13026,1.13026,1.13026,1.13026,0,0,0,1.29820671999918E-05,0
13,760,EUR_USD,S5,True,6,2022-01-07T07:27:45.000000000Z,1.13024,1.13026,1.13024,1.13026,0,2.0000000000131E-05,0,1.43856537600196E-05,0
14,792,EUR_USD,S5,True,1,2022-01-07T07:27:50.000000000Z,1.13026,1.13026,1.13026,1.13026,2.0000000000131E-05,0,4.00000000002621E-06,1.15085230080157E-05,25.79
15,827,EUR_USD,S5,True,6,2022-01-07T07:28:00.000000000Z,1.13028,1.13028,1.13027,1.13027,1.9999999999909E-05,0,7.20000000000276E-06,9.20681840641255E-06,43.88
16,860,EUR_USD,S5,True,4,2022-01-07T07:28:10.000000000Z,1.13028,1.13029,1.13026,1.13026,0,0,5.76000000000221E-06,7.36545472513004E-06,43.88
17,995,EUR_USD,S5,True,6,2022-01-07T07:28:50.000000000Z,1.13026,1.13033,1.13026,1.13033,0,1.9999999999909E-05,4.60800000000177E-06,9.89236378008583E-06,31.78
