Open,High,Low,Close,Date,TR,ATR(SMA),ATR(RMA),SMA(High),SMA(Low)
1.15776,1.16074,1.1563,1.1593,1/Oct/2021,0.00444,,0.00519,,
1.1593,1.16402,1.15878,1.16204,4/Oct/2021,0.00524,0.00484,0.00522,1.16238,1.15754
1.16204,1.16221,1.15806,1.15978,5/Oct/2021,0.00415,0.004695,0.00468,1.163115,1.15842
1.15978,1.16063,1.15291,1.15567,6/Oct/2021,0.00772,0.005935,0.0062,1.16142,1.155485
1.15567,1.15724,1.15474,1.15536,7/Oct/2021,0.0025,0.00511,0.00435,1.158935,1.153825
1.15536,1.15862,1.15414,1.15744,8/Oct/2021,0.00448,0.00349,0.00442,1.15793,1.15444
1.15744,1.15868,1.15491,1.15532,11/Oct/2021,0.00377,0.004125,0.00409,1.15865,1.154525
1.15532,1.15703,1.15244,1.15302,12/Oct/2021,0.00459,0.00418,0.00434,1.157855,1.153675
1.15302,1.15974,1.15285,1.15958,13/Oct/2021,0.00689,0.00574,0.00562,1.158385,1.152645
1.15958,1.16244,1.1584,1.15971,14/Oct/2021,0.00404,0.005465,0.00483,1.16109,1.155625
1.15971,1.16188,1.15882,1.1599,15/Oct/2021,0.00306,0.00355,0.00395,1.16216,1.15861
1.1599,1.16226,1.15718,1.16112,18/Oct/2021,0.00508,0.00407,0.00451,1.16207,1.158
1.16112,1.16695,1.16086,1.1633,19/Oct/2021,0.00609,0.005585,0.0053,1.164605,1.15902
1.1633,1.16587,1.1617,1.1651,20/Oct/2021,0.00417,0.00513,0.00474,1.16641,1.16128
1.1651,1.16676,1.16196,1.16249,21/Oct/2021,0.0048,0.004485,0.00477,1.166315,1.16183
1.16249,1.16558,1.16214,1.16459,22/Oct/2021,0.00344,0.00412,0.00411,1.16617,1.16205
1.16459,1.16654,1.15906,1.16106,25/Oct/2021,0.00748,0.00546,0.00579,1.16606,1.1606
1.16106,1.16258,1.15849,1.15964,26/Oct/2021,0.00409,0.005785,0.00494,1.16456,1.158775
1.15964,1.16262,1.15848,1.16033,27/Oct/2021,0.00414,0.004115,0.00454,1.1626,1.158485
1.16033,1.16923,1.15823,1.1683,28/Oct/2021,0.011,0.00757,0.00777,1.165925,1.158355
1.1683,1.16901,1.15352,1.15619,29/Oct/2021,0.01549,0.013245,0.01163,1.16912,1.155875
1.15619,1.1609,1.15461,1.16062,1/Nov/2021,0.00629,0.01089,0.00896,1.164955,1.154065
1.16062,1.16136,1.15752,1.15799,2/Nov/2021,0.00384,0.005065,0.0064,1.16113,1.156065
1.15799,1.16164,1.15624,1.16117,3/Nov/2021,0.0054,0.00462,0.0059,1.1615,1.15688
1.16117,1.16165,1.15282,1.15546,4/Nov/2021,0.00883,0.007115,0.00737,1.161645,1.15453
1.15546,1.15736,1.15133,1.1568,5/Nov/2021,0.00603,0.00743,0.0067,1.159505,1.152075
1.1568,1.1595,1.15505,1.15872,8/Nov/2021,0.00445,0.00524,0.00558,1.15843,1.15319
1.15872,1.16089,1.15698,1.15944,9/Nov/2021,0.00391,0.00418,0.00475,1.160195,1.156015
1.15944,1.15956,1.14762,1.14778,10/Nov/2021,0.01194,0.007925,0.00834,1.160225,1.1523
1.14778,1.14876,1.1443,1.14493,11/Nov/2021,0.00446,0.0082,0.0064,1.15416,1.14596
1.14493,1.14623,1.1433,1.14433,12/Nov/2021,0.00293,0.003695,0.00467,1.147495,1.1438
1.14433,1.1464,1.13564,1.13676,15/Nov/2021,0.01076,0.006845,0.00772,1.146315,1.13947
1.13676,1.13858,1.1309,1.13204,16/Nov/2021,0.00768,0.00922,0.0077,1.14249,1.13327
1.13204,1.13322,1.12637,1.13189,17/Nov/2021,0.00685,0.007265,0.00727,1.1359,1.128635
